RC1_Adopted,RC2_Died,RC3_Residence_Order,RC4_Special_Guardianship_Order,RC5_Transfer_to_another_LA,RC6_Transfer_to_Adult_Social_Service,RC7_Other
16,c,c,25,89,15,1449
c,c,10,28,23,34,798
10,c,11,11,72,14,2585
26,17,13,54,40,27,1733
26,13,12,32,34,16,1053
19,c,0,49,59,c,1564
17,c,c,21,50,c,3762
c,c,0,7,104,c,841
24,9,c,9,60,c,1328
42,c,c,8,62,16,1340
24,c,c,10,28,21,1703
c,0,10,c,35,c,617
c,c,0,14,25,7,801
76,19,c,c,162,65,6703
37,c,c,16,91,23,3599
23,10,12,58,137,29,5137
26,c,0,c,96,18,1709
39,c,c,12,83,31,1810
11,12,0,28,111,6,2892
16,c,c,c,82,18,1279
13,c,10,23,45,c,1056
c,c,0,7,49,14,1507
26,c,c,44,64,c,1326
c,c,c,11,39,9,1297
6,c,c,16,52,14,898
18,c,c,17,67,17,3267
20,c,c,17,54,17,1550
20,10,c,16,81,c,2336
18,c,c,37,141,30,5467
9,0,c,20,103,c,2417
19,c,0,23,67,c,2382
0,0,0,0,c,c,2327
26,c,18,79,64,c,2276
21,10,6,43,62,19,1747
59,c,c,43,78,c,2977
11,c,c,20,64,13,2244
8,c,c,18,16,7,555
21,c,c,16,78,31,2090
38,c,9,37,68,c,1895
35,c,c,53,80,24,2975
47,c,0,c,416,17,3406
0,0,0,0,48,0,1466
28,9,0,20,64,12,1736
0,21,0,0,0,0,5030
15,c,c,19,96,c,2052
10,c,13,c,91,16,3478
32,c,c,42,146,31,2660
59,0,0,32,0,0,3622
45,c,c,11,77,11,1781
0,15,7,8,131,9,3319
c,c,0,c,18,c,147
45,15,35,20,199,60,5757
14,c,c,19,115,16,3200
c,c,0,c,91,0,2792
0,c,0,c,0,0,842
27,c,c,12,378,c,3135
17,c,0,0,55,17,1140
c,c,c,c,24,c,1104
55,10,19,0,119,46,3403
27,13,0,29,109,20,2284
16,c,0,c,59,13,811
c,c,0,17,61,0,1234
15,c,c,16,27,25,2128
21,c,c,9,85,14,1817
19,c,c,7,53,30,2477
0,0,c,c,19,0,853
19,c,c,16,106,24,2188
13,c,0,c,52,15,923
47,11,19,38,142,8,2572
23,c,c,16,190,103,2519
6,7,0,13,129,19,1392
51,c,c,54,155,29,4014
17,8,c,36,74,c,1167
23,c,c,c,42,17,785
42,c,c,13,117,38,2990
12,c,0,7,95,c,1206
c,c,0,c,51,c,758
11,c,c,59,0,c,1634
35,6,0,14,165,29,4921
26,20,0,18,125,30,2846
34,16,7,20,79,6,9892
c,c,0,0,8,0,1226
47,33,10,61,657,93,8897
12,c,11,0,41,23,1638
24,7,0,13,67,22,1745
112,c,c,18,95,43,3114
17,c,c,10,66,8,2668
12,c,c,0,84,12,875
c,8,c,10,93,12,1628
25,0,c,c,39,17,2369
19,c,c,23,173,56,8108
c,c,0,c,44,11,1099
33,6,9,37,76,31,2332
c,0,0,c,c,0,1356
c,c,0,c,35,7,523
c,c,0,c,37,20,505
20,6,23,17,17,28,3506
15,c,c,24,44,22,1854
17,9,13,32,65,21,3952
37,c,c,60,52,26,2191
22,c,12,c,73,21,1776
27,21,c,27,146,c,3423
0,0,c,0,c,0,c
10,c,0,10,c,0,562
19,6,c,10,9,c,1671
31,c,c,33,19,17,2198
c,c,c,8,27,17,706
c,0,c,12,30,18,1330
c,c,0,0,0,0,1875
c,11,c,21,61,28,1823
c,c,0,11,92,8,899
c,0,0,0,12,c,26
x,x,x,x,x,x,x
c,c,0,8,27,c,911
c,c,0,9,159,11,1705
6,0,0,12,72,10,1290
c,c,0,c,60,7,1092
c,c,c,c,98,10,909
c,c,0,14,115,21,2554
c,13,c,21,212,21,2970
8,7,8,15,223,29,1175
c,c,0,9,130,6,3234
0,c,0,0,41,c,2007
c,c,0,6,83,c,355
22,0,0,c,118,c,1982
c,c,0,18,104,13,1906
10,c,c,18,112,22,1014
0,c,0,c,29,c,1954
10,c,c,10,136,26,1201
22,9,6,6,227,65,2982
6,c,c,8,95,19,2886
c,c,c,13,201,45,2816
c,12,c,14,48,24,1081
c,c,0,13,147,14,1490
c,c,c,c,53,28,1329
9,c,0,c,153,24,1501
25,c,0,c,38,20,2282
c,c,c,c,62,c,671
c,c,0,c,68,10,704
c,c,0,6,148,43,3063
c,c,0,c,38,12,568
6,0,0,0,34,15,970
6,7,0,7,83,7,1646
10,c,10,20,27,6,473
53,7,25,81,92,15,2823
17,c,8,18,47,c,693
14,0,0,27,40,13,1112
15,c,c,48,83,25,1397
23,c,0,23,c,0,2616
10,c,c,13,15,23,867
22,c,c,16,26,20,1704
7,c,c,11,36,10,1091
c,c,18,30,52,94,948
10,c,c,7,30,9,2280
45,c,13,34,63,21,2383
22,c,0,13,54,c,1267
c,c,0,7,129,13,2202
36,0,c,21,66,c,2770
9,8,0,c,125,c,970
17,c,c,6,46,10,1432
49,c,0,c,42,23,1388
30,c,c,c,36,25,2290
16,0,0,c,42,c,1035
9,c,0,c,49,7,1078
108,16,14,22,231,54,8177
44,c,c,24,90,20,4655
56,12,12,58,91,16,4544
31,c,0,26,107,c,2028
31,14,c,c,103,21,1985
27,c,0,7,91,c,2175
c,21,c,7,45,10,1124
26,c,c,12,68,10,1147
16,10,0,15,49,21,1628
27,6,9,20,75,10,1400
12,c,c,15,59,17,2037
37,0,0,30,40,10,942
16,6,c,13,27,6,2613
36,7,11,39,70,22,2066
37,c,c,25,70,14,1785
19,c,c,21,148,34,5889
11,0,c,c,100,13,3020
27,c,c,41,66,6,2305
c,0,0,0,c,c,2877
12,c,c,7,c,7,3055
27,7,c,22,56,c,2623
43,c,c,59,113,0,2693
16,0,18,17,91,12,2892
7,c,7,16,29,c,738
30,6,c,c,70,33,2395
23,c,8,39,69,c,2173
38,11,17,58,78,41,3766
41,c,0,12,265,c,5318
0,7,0,0,78,0,1758
22,c,c,22,78,13,2161
c,15,0,c,c,0,5490
20,8,c,40,62,c,1615
c,0,c,c,26,8,3042
57,7,7,50,150,33,3078
42,7,0,29,0,33,3036
28,c,c,14,67,14,3467
0,12,c,12,126,c,3423
0,0,c,c,c,c,199
